sport,home,away,date,notes
Baseball,New York Mets,Atlanta Braves,,
Baseball,Boston Redsox,Milwaukee Brewers,9/6/1997,After 7 straight losses
Baseball,Boston Redsox,Oakland A's,2003?,
Baseball,Boston Redsox,Toronto Blue Jays,2004?,
Baseball,Atlanta Braves,Boston Redsox,6/18/2007,
Baseball,Atlanta Braves,Boston Redsox,6/19/2007,
Baseball,Atlanta Braves,Boston Redsox,6/20/2007,
Baseball,Boston Redsox,Oakland A's,7/29/2009,
Baseball,Baltimore Orioles,Boston Redsox,9/7/2007,
Baseball,Pittsburgh Pirates,Atlanta Braves,9/17/2010,
Baseball,New York Mets,Pittsburgh Pirates,5/10/2013,
Baseball,Boston Redsox,Cincinnati Reds,5/7/2014,
Baseball,New York Yankees,Minnesota Twins,6/1/2014,
Baseball,New York Mets,Pittsburgh Pirates,6/27/2014,
Baseball,New York Yankees,Philadelphia Phillies,6/22/2015,
Baseball,New York Mets,Boston Redsox,8/28/2015,Barstool at the Ballpark
Baseball,Boston Redsox,Toronto Blue Jays,4/16/2016,Colin's bachelor party
Baseball,Pittsburgh Pirates,Chicago Cubs,7/8/2016,
Baseball,New York Yankees,San Francisco Giants,7/23/2016,
Baseball,New York Yankees,Cleveland Indians,8/6/2016,
Baseball,New York Yankees,Boston Redsox,9/3/2017,
Baseball,New York Yankees,Boston Redsox,5/8/2018,
Baseball,Chicago Cubs,St. Louis Cardinals,7/21/18,"Day Game of Doubleheader, BMcG Bachelor Party"
Baseball,Pittsburgh Pirates,Colorado Rockies,5/29/21,"WHS BP, suite"
Baseball,New York Yankees,Boston Redsox,7/18/2021,"Suite for Denis 70th birthday, foul ball off Michele"
Football,New York Jets,Houston Texans,11/21/2010,
Football,New England Patriots,New York Jets,10/9/2011,1st NFL Game @ Gillette
Football,New York Jets,New England Patriots,11/13/2011,
Football,New York Giants,Washington Redskins,12/18/2011,
Football,New York Jets,Houston Texans,10/8/2012,
Football,New York Jets,New England Patriots,11/22/2012,Thanksgiving (Butt-fumble)
Football,New England Patriots,Houston Texans,1/13/2013,AFC Divisional Game
Football,New York Jets,New England Patriots,10/20/2013,"OT, Penalty on FG"
Football,Carolina Panthers,New England Patriots,11/18/2013,"MNF, Huggate"
Football,New England Patriots,New York Jets,10/16/2014,"TNF, Blocked FG to win"
Football,New York Jets,New England Patriots,12/21/2014,Blocked FG to win
Football,New York Jets,Tennesee Titans,12/13/2015,Mikey Mo's Box
Football,Pittsburgh Steelers,New England Patriots,10/23/2016,Landry Jones
Football,New York Jets,New England Patriots,11/27/2016,"Brady's 200th win, Brady drop & MM TD, JW Missed 2PC"
Football,New York Jets,New England Patriots,10/15/2017,Coaches Club
Football,New York Jets,Buffalo Bills,11/2/2017,TNF
Football,New England Patriots,Philadelphia Eagles,2/5/2018,Super Bowl LII
Football,New York Jets,New England Patriots,11/25/2018,
Football,New England Patriots,Los Angeles Chargers,1/13/2019,AFC Divisional Game
Football,New York Jets,Cleveland Browns,9/16/2019,"MNF, Luke Falk game"
Football,New York Jets,New England Patriots,10/21/2019,"""seeing ghosts"""
Football,New York Jets,New England Patriots,9/19/2021,"1st Mac Jones game, Home opener"
Football,Miami Dolphins,New England Patriots,1/9/2022,W18
Football,New York Jets,New England Patriots,10/30/2022,
Football,New York Jets,New England Patriots,9/24/2023,Tropical Storm
Football,New England Patriots,New Orleans Saints,10/8/2023,"🤮, Last game seeing BB"
Football,New York Jets,New England Patriots,9/19/2024,"Home opener, Drake Maye 1st appearance"
Football,New England Patriots,Pittsburgh Steelers,9/22/2025,5 TOs
Football,New York Jets,Denver Broncos,10/12/2025,"London, Tottenham Stadium, -10 Passing Yards"
Football,New York Jets,New England Patriots,12/28/2025,"Sideline!, 5 Passing TDs"
Football,New England Patriots,Los Angeles Chargers,1/11/2026,"HH TD, sat with Clyde & Madwed"
Hockey,Pittsburgh Penguins,Washington Capitals,1/1/2011,Winter Classic
Hockey,New Jersey Devils,Winnipeg Jets,1/17/2012,
Hockey,New Jersey Devils,Pittsburgh Penguins,2/9/2013,
Hockey,New York Islanders,Boston Bruins,10/23/15,BSS @ BP
Hockey,New Jersey Devils,New York Rangers,2/23/16,
Hockey,New York Islanders,Pittsburgh Penguins,11/18/16,BSS @ BP
Hockey,New Jersey Devils,New York Rangers,3/21/17,
Hockey,New York Islanders,,,Tickets w/Gundy
Hockey,New Jersey Devils,Boston Bruins,11/19/2019,
Basketball,Philadelphia 76ers,Cleveland Cavaliers,12/16/2009,
Basketball,Philadelphia 76ers,Miami Heat,10/27/2010,Home opener
Basketball,New York Knicks,Toronto Raptors,3/20/2012,Box with Foster
Basketball,Brooklyn Nets,Atlanta Hawks,4/2/17,
Basketball,Brooklyn Nets,,,
Basketball,Brooklyn Nets,Boston Celtics,5/25/2021,Playoff Game
Basketball,East,West,2/20/2022,"All Star Game- CLE, LBJ GW shot"
Basketball,East,West,2/18/2024,
Basketball,Boston Celtics,Dallas Mavericks,6/9/24,Finals Game 2
